  id  |  votes  | metascore | userscore 
  202 |   12193 |        47 |       6.5
  203 |   79855 |        58 |       7.3
  204 |  737719 |        79 |       7.9
  205 |   70504 |        33 |       5.7
  206 |  550011 |        65 |       7.8
  207 |    5435 |        81 |       7.5
  208 |   26089 |        90 |       7.5
  210 |   23713 |        67 |       6.7
  211 |  161396 |        43 |       6.1
  212 |  114290 |        63 |       5.3
  213 |  531112 |        61 |       7.1
  214 |   54679 |        49 |       5.8
  215 |  443584 |        54 |         7
  216 |   73568 |        25 |       5.5
  217 |  542362 |        70 |       7.8
  218 |    7044 |        41 |       5.7
  219 |    1703 |        67 |       6.1
  220 |  456749 |        66 |       7.7
  221 |   61098 |        51 |       6.7
  222 |  283445 |        73 |       7.1
  223 |  136399 |        83 |       6.9
  224 |  348551 |        71 |       7.8
  225 |  334867 |        44 |         7
  226 |   19660 |        79 |         7
  227 |  121313 |        82 |       7.1
  228 |  179450 |        51 |       6.4
  229 |  268877 |        56 |         7
  230 |    2382 |        35 |       4.8
  231 |  498879 |        98 |       8.2
  232 |    3305 |        50 |       5.2
  233 |  247926 |        68 |       7.8
  234 |  257472 |        75 |       7.4
  235 |   66766 |        35 |       6.1
  236 |  377336 |        67 |         8
  237 |   41446 |        81 |       6.8
  238 |    4895 |        31 |       3.9
  239 |  530881 |        88 |       8.1
  240 |   96852 |        35 |       5.9
  241 |  332234 |        64 |       7.6
  242 |  416689 |        94 |       8.2
  243 |    1109 |        48 |       5.8
  244 |  205365 |        38 |       6.5
  245 |  148949 |        47 |       5.9
  246 |  257426 |        63 |       7.6
  247 |  382910 |        84 |       7.9
  248 |   14708 |        83 |       7.4
  249 |  188017 |        75 |       7.1
  250 |  557965 |        57 |       8.6
  251 |     178 |        50 |       4.9
  252 |   50946 |        73 |       7.3
  253 |  139831 |        72 |       7.9
  254 |  342183 |        53 |       6.7
  255 |  330305 |        68 |       7.5
  256 |  611563 |        73 |       7.8
  257 |  210349 |        41 |       5.8
  258 |  422290 |        68 |       7.6
  259 |   69823 |        58 |       6.4
  260 |     664 |        76 |       7.1
  261 |  440299 |        88 |       7.8
  262 |  581518 |        79 |         8
  263 |   21715 |        79 |       6.2
  264 |   90556 |        64 |         7
  265 |   59312 |        40 |         6
  266 |   53441 |        53 |       4.9
  267 |   75137 |        18 |         6
  268 |  298651 |        55 |       7.5
  269 |  388447 |        40 |       6.7
  270 |    2384 |           |       3.7
  271 |  547386 |        81 |       7.8
  272 |  668651 |        58 |       7.9
  273 |  432046 |        69 |       7.2
  274 |   52144 |        79 |         8
  275 |    4729 |           |       6.8
  276 |  410125 |        54 |         7
  277 |  280110 |        71 |       7.1
  344 |   36322 |        71 |       6.8
  278 |  329683 |        78 |       7.7
  279 |   36312 |        83 |         7
  280 |  591023 |        62 |       7.2
  281 |  492324 |        50 |       7.3
  282 |  501769 |        57 |       7.6
  283 |  220236 |           |       7.1
  284 |  110773 |        66 |         7
  285 |  122838 |        47 |         6
  286 |  204874 |        33 |       6.1
  287 |   30405 |        34 |       5.8
  288 |  150121 |        40 |       5.3
  289 |   26508 |        47 |       5.8
  290 |     726 |           |       6.1
  291 |   58782 |        72 |       7.5
  292 |  226631 |        66 |       7.2
  293 |   76327 |        58 |       5.7
  294 |      96 |           |       7.7
  295 |  577010 |        55 |       7.1
  296 |   20514 |        26 |       6.6
  297 |   34523 |        34 |       5.7
  298 |  302268 |        62 |       6.8
  299 |   43929 |        66 |       7.1
  300 |  400682 |        92 |       8.1
  301 |  249425 |        57 |       7.2
  302 |  218996 |        60 |       7.5
  303 |  295554 |        72 |         7
  304 |   67033 |        55 |       5.5
  305 |  105619 |        46 |       6.4
  306 |   69509 |        81 |       6.7
  307 |   57207 |        34 |       6.2
  308 |     403 |           |       5.5
  309 |  193479 |        45 |         6
  310 |   59886 |        51 |       6.1
  311 |  237221 |        53 |       7.7
  312 |  103150 |        88 |       7.8
  313 |  132580 |        86 |       6.8
  314 |  385598 |        59 |       7.4
  315 |  385325 |        71 |       7.5
  316 |  199048 |        84 |         7
  317 |   73093 |        33 |       5.2
  318 |    1263 |           |       5.3
  319 |   81429 |        55 |       6.2
  320 |  300803 |        66 |       7.3
  321 |   95960 |        48 |       6.5
  322 |     616 |        74 |       6.4
  345 |  406219 |        59 |       6.2
  323 |  203096 |        53 |       7.3
  324 |  319025 |        53 |       6.7
  325 |  510100 |        95 |       7.7
  326 |   71149 |        34 |         6
  327 |   37975 |        36 |         6
  328 |   12643 |        54 |       7.4
  329 |   62885 |        79 |         7
  330 |   43085 |        51 |       5.4
  331 |   34248 |        56 |       6.9
  332 |  353305 |        72 |       7.3
  333 |  352801 |        84 |         8
  334 |  207497 |        86 |       7.4
  335 |  339722 |        75 |       8.1
  336 |   18201 |           |       6.1
  337 |  564364 |        81 |       7.8
  338 |     115 |        64 |       5.9
  339 |  271301 |        69 |       7.8
  340 |   93764 |        31 |       6.5
  341 |  217464 |        46 |       6.6
  342 |  452369 |        84 |       7.4
  343 |  173320 |        52 |       6.4
  346 |   92329 |        35 |       5.8
  347 |  220664 |        66 |       7.7
  348 |  379088 |        90 |       7.3
  349 |   96617 |        47 |       5.1
  350 |  320323 |        81 |       7.7
  351 |    1396 |        83 |       7.3
  352 |   97679 |        56 |       6.6
  353 |   33352 |        47 |       7.1
  354 |   45579 |        64 |       6.7
  355 |  171970 |        42 |       6.3
  356 |   59958 |        30 |       5.5
  357 |    5496 |           |       7.4
  358 |  299718 |        72 |       7.7
  359 |  327838 |        67 |       6.6
  360 |  221600 |        55 |       7.8
  361 |  223065 |        51 |       6.9
  362 |   14248 |        42 |       5.7
  363 |  417663 |        72 |       7.8
  364 |  409403 |        73 |       7.7
  365 |   89059 |        72 |       6.3
  366 |  677044 |        86 |         8
  367 |  194329 |        52 |       5.5
  368 |     286 |           |       6.9
  369 |  474320 |        66 |         7
  370 |   28326 |        38 |       5.7
  371 |     702 |        62 |         6
  372 |  335531 |        57 |       6.8
  373 |   38430 |        36 |       6.3
  374 |  312495 |        64 |       6.7
  375 |   31776 |        71 |       6.9
  376 |    7583 |        33 |       5.7
  377 |  135706 |        68 |       6.9
  378 |  175673 |        82 |       7.6
  379 |   61812 |        64 |       7.1
  380 |  137568 |        35 |       6.1
  381 |   84016 |        76 |       7.6
  382 |  169083 |        57 |       7.4
  383 |   45867 |        67 |       6.6
  384 |  217938 |        81 |       7.6
  385 |  266508 |        83 |       7.8
  386 |  154647 |        64 |       7.1
  387 |  101092 |        27 |       5.6
  388 |  221117 |        53 |       6.7
  389 |  355362 |        60 |       6.7
  390 |  220667 |        51 |       6.6
  391 |   31913 |        63 |       6.3
  392 |   31194 |        39 |       5.8
  393 |  116112 |        82 |       7.2
  394 |     102 |        43 |         5
  395 |  114482 |        19 |       5.4
  396 |  112288 |        51 |       7.2
  397 |  342355 |        61 |       6.8
  398 |   86417 |        23 |       5.5
  399 |   26587 |        31 |         6
  400 |  113686 |        72 |       6.1
  401 |  159830 |        56 |       6.4
  402 |     240 |        71 |       3.9
  403 |   93972 |           |       7.1
  404 |  410607 |        72 |       7.7
  405 |   49041 |        29 |       6.7
  406 |   40529 |        74 |       6.7
  407 |  226661 |        95 |       7.4
  408 |  316459 |        71 |       7.8
  409 |  202380 |        65 |       6.6
  410 |   74589 |        34 |       6.1
  411 |  502961 |        50 |       7.8
  412 |  108306 |        63 |       6.5
  413 |  252119 |        65 |       7.3
  414 |   35417 |        89 |       7.2
  415 |   48161 |        38 |       5.6
  416 |   34546 |        55 |       5.4
  417 |     164 |        85 |       6.9
  418 |  202890 |           |       7.8
  419 |  357213 |        65 |       7.7
  420 |  155010 |        72 |       7.2
  421 |  164208 |        65 |       6.8
  422 |    8914 |        35 |       5.7
  423 |   35003 |        45 |       5.8
  424 |  237887 |        48 |       6.2
  425 |  100702 |        28 |       5.9
  426 |  485075 |        70 |       7.8
  427 |  122185 |        46 |       6.5
  428 |  525700 |        85 |       8.1
  429 |   43648 |        55 |       5.2
  430 |   54216 |           |         6
  431 |  238789 |        67 |       8.4
  432 |   48297 |        34 |       4.7
  433 |  494819 |        63 |         7
  434 |  382459 |        73 |       7.4
  435 |     223 |        56 |       6.4
  436 |   81301 |           |       7.1
  437 |   58421 |        33 |       7.1
  438 |  156189 |        73 |       7.6
  439 |  214825 |        41 |       6.6
  440 |     220 |        63 |       5.6
  441 |  181521 |        44 |       6.3
  442 |   94977 |        87 |       7.5
  443 |  156620 |        80 |       7.7
  444 |  151409 |        81 |       7.4
  445 |    4531 |        31 |         6
  446 |  184152 |           |       6.6
  447 |  213764 |        59 |       7.1
  448 |   52331 |        81 |       7.9
  449 |  309186 |        74 |       7.8
  450 |  113272 |        53 |       5.9
  451 |  556666 |        57 |         7
  452 |   58720 |        49 |         7
  453 |  126656 |        28 |       6.8
  454 |  214994 |        41 |       6.5
  455 |  202682 |        36 |       6.1
  456 |  192263 |        76 |       8.3
  457 |  241709 |        48 |       6.7
  458 |   95119 |        34 |         6
  459 |  182069 |        33 |       6.4
  460 |  159736 |        69 |       7.3
  461 |  294553 |        74 |       7.6
  462 |   51235 |        42 |         6
  463 |    8229 |        63 |       6.6
  464 |  187760 |        69 |       7.5
  465 |   57602 |        60 |       6.3
  466 |  357436 |        48 |       7.5
  467 |  255813 |        65 |       6.4
  468 |  111558 |        61 |       6.9
  469 |  556794 |        81 |         8
  470 |  199900 |        64 |       6.7
  471 |  337835 |        76 |       7.8
  472 |   83941 |        65 |       6.4
  473 |  297984 |        49 |       5.8
  474 |  351059 |        78 |       7.5
  475 |  481274 |        86 |       7.7
  476 |   56332 |        54 |       7.4
  477 |  278103 |        89 |       8.5
  478 |    8404 |        48 |       5.7
  479 |      61 |        71 |       8.3
  480 |   41642 |        71 |       6.7
  481 |  226619 |        67 |       7.2
  482 |   93799 |        47 |       6.5
  483 |   48400 |        52 |       6.3
  484 |   17584 |        43 |       7.7
  485 |   55781 |           |       6.3
  486 |  254446 |        84 |       7.8
  487 |  102954 |        81 |       6.7
  488 |   84765 |        34 |       6.7
  489 |  166489 |        56 |       6.6
  490 |  504039 |        96 |         8
  491 |   36091 |        66 |       6.5
  492 |  241359 |        53 |       6.9
  493 |  313803 |        64 |         7
  494 |   44553 |        34 |       5.3
  495 |   94707 |        78 |       6.3
  496 |  565721 |        65 |       7.2
  497 |  278379 |        58 |       6.8
  498 |  298913 |        72 |       7.1
  499 |  228339 |        34 |       7.4
  500 |  722203 |        88 |       8.3
  501 |  159364 |        43 |       6.3
  502 |   77995 |        95 |       7.2
  503 |   27428 |        68 |       6.5
  504 |   52636 |        64 |       7.3
  505 |  166872 |        63 |       7.9
  506 |     291 |        54 |       5.7
  507 |  107960 |        59 |       6.5
  508 |  398972 |        76 |       7.7
  509 |   83625 |        18 |       4.3
  510 |  622089 |        96 |       7.8
  511 |  144614 |        55 |       7.8
  512 |  267820 |        53 |       7.2
  513 |  170897 |        34 |         5
  514 |   47289 |        72 |       7.1
  515 |   42506 |        60 |       5.7
  516 |  294950 |        72 |       7.1
  517 |  137299 |        52 |         6
  518 |  188769 |        41 |       6.9
  519 |  513744 |        66 |       7.9
  520 |    1356 |        51 |       6.2
  521 |   24100 |        59 |       7.2
  522 |   84927 |        48 |       5.3
  523 |    1830 |        57 |       4.7
  524 |   36156 |           |       6.6
  525 |   36043 |        60 |         7
  526 |     552 |        61 |       3.9
  527 |  358932 |           |       6.6
  528 |   26461 |        38 |       5.4
  529 |  318058 |        62 |       6.4
  530 |  245374 |        61 |       6.7
  531 |   74674 |        47 |       6.9
  532 |   12758 |        59 |       5.4
  533 |  253858 |           |         7
  534 |  352698 |        61 |       6.4
  535 |    1024 |        77 |       7.2
  536 |  143389 |        39 |       6.5
  537 |  250811 |        50 |         7
  538 |   24761 |        22 |       5.7
  539 |     198 |        43 |       7.3
  540 |    7115 |           |       6.1
  541 |  137964 |        77 |       7.2
  542 |  444417 |        59 |       7.4
  543 |   27042 |        39 |       6.3
  544 |  177247 |           |       7.1
  545 |    4912 |        39 |       5.7
  546 |   54787 |        76 |       6.7
  547 |   10485 |        83 |       6.8
  548 |  324898 |        53 |       6.5
  549 |     391 |        68 |       6.8
  550 |   22941 |        77 |       7.9
  551 |  106381 |        45 |       5.8
  552 |   17141 |        79 |       7.1
  553 |  121847 |        27 |       4.3
  672 |   47703 |        41 |       6.5
  554 |    9187 |        80 |       6.3
  555 |   30074 |        33 |       7.1
  556 |   30180 |        30 |       4.6
  557 |   96688 |        77 |       7.1
  558 |  148504 |        40 |       6.3
  559 |   90372 |        47 |       6.9
  560 |  115355 |        66 |       6.6
  561 |  283282 |        45 |       6.5
  562 |  133113 |        57 |       6.5
  563 |  171169 |        53 |       6.8
  564 |  290559 |        72 |       7.8
  565 |  239772 |        57 |       6.1
  566 |   47804 |        36 |       5.8
  567 |  338369 |        42 |       6.3
  568 |  432461 |        81 |       7.5
  569 |   26521 |        58 |       6.1
  570 |   68654 |        55 |       6.5
  571 |  110825 |        39 |         6
  572 |  150353 |        75 |       7.1
  573 |  159582 |        51 |       7.1
  574 |  374044 |        80 |       7.8
  575 |   11900 |        62 |       6.8
  576 |  238206 |        39 |       5.8
  577 |   44425 |        58 |       6.8
  578 |  273959 |        49 |       6.8
  579 |  525646 |        76 |       7.6
  580 |   44158 |        57 |       6.3
  581 |    6809 |        37 |       4.9
  582 |  125129 |        20 |       4.2
  583 |   89885 |        36 |       5.1
  584 |   60059 |        41 |       5.7
  585 |  297395 |        87 |       7.6
  586 |  190673 |        35 |       5.2
  587 |  114006 |        59 |       7.2
  588 |  142900 |        46 |         6
  589 |  199860 |        64 |       7.3
  590 |  293941 |        69 |       7.2
  591 |  182074 |        76 |       7.8
  592 |   25208 |        37 |       6.2
  593 |  116118 |        69 |       7.1
  594 |  122864 |        45 |       6.4
  595 |   68306 |        42 |       6.1
  596 |   97141 |        79 |       7.2
  597 |   84083 |        39 |       6.6
  598 |   63408 |        44 |       6.2
  599 |  277123 |        67 |       7.9
  600 |  183926 |        63 |       7.3
  601 |  181432 |        40 |       6.7
  602 |   40357 |        66 |       6.4
  603 |  137684 |        47 |       6.4
  604 |   89791 |        66 |       7.2
  605 |    1630 |        90 |       5.1
  606 |     338 |           |       7.4
  607 |  116435 |           |       7.2
  608 |  368556 |        57 |       6.9
  609 |   33560 |        74 |       8.1
  610 |  216932 |        78 |         7
  611 |   71822 |        52 |       6.2
  612 |   24387 |        93 |       7.6
  613 |  130702 |        42 |       6.7
  614 |  143564 |        68 |       7.5
  615 |  199973 |        66 |       6.6
  616 |   21089 |        48 |       6.3
  617 |     277 |        53 |         4
  618 |   29895 |           |       6.9
  619 |   30053 |        52 |       6.3
  620 |  249877 |        54 |       7.3
  621 |   66400 |        72 |       7.3
  622 |  127157 |        39 |       6.4
  623 |   94069 |        49 |       6.6
  624 |   78631 |        34 |       5.6
  625 |  144715 |        26 |         6
  626 |  210965 |        43 |       6.3
  627 |  406540 |        58 |       6.7
  628 |    7181 |        46 |         6
  629 |   10700 |           |       6.1
  630 |   74886 |        47 |       6.2
  631 |  151519 |        55 |       6.7
  632 |  261536 |        52 |       6.6
  633 |   73491 |        85 |         7
  634 |    6683 |        94 |       4.9
  635 |  776897 |           |       8.4
  636 |  309398 |        85 |         7
  637 |  404884 |        74 |       7.5
  638 |  195360 |        58 |       7.3
  639 |   50402 |        59 |       5.6
  640 |  178471 |        49 |       6.7
  641 |  361105 |        64 |         8
  642 |  110100 |        77 |       8.1
  643 |   31149 |        18 |       4.8
  644 |    4304 |        73 |       7.5
  645 |    3564 |        72 |       5.5
  646 |  595779 |           |       8.2
  647 |   76469 |        42 |       6.6
  648 |     173 |        57 |       3.2
  649 |   27006 |           |       5.3
  650 |   44111 |        30 |       5.6
  651 |  296289 |        83 |       7.4
  652 |   36300 |        36 |       6.4
  653 |  219916 |        52 |       6.8
  654 |   30875 |        68 |       6.7
  655 |     482 |        82 |       6.4
  656 |  240323 |        70 |         7
  657 |  286722 |       100 |       7.9
  658 |  178527 |        31 |       5.9
  659 |  198006 |        82 |       7.7
  660 |    2798 |        62 |       6.7
  661 |  267872 |        64 |         7
  662 |   54027 |        55 |       6.9
  663 |  206707 |        72 |       7.7
  664 |  140151 |        60 |       6.6
  665 |    5796 |        88 |       7.1
  666 |   75291 |        63 |       6.6
  667 |   26320 |        32 |       5.7
  668 |  136323 |        48 |       6.3
  669 |  168875 |        45 |       6.5
  670 |  422014 |        64 |         8
  671 |   15514 |        42 |       6.1
  673 |  352023 |        94 |       7.6
  674 |  231907 |        39 |       5.6
  675 |    9285 |        50 |       5.9
  676 |  233346 |        58 |       7.2
  677 |  188004 |        49 |       6.7
  678 |   80415 |        44 |       7.2
  679 |   57874 |        56 |       6.5
  680 |    2403 |        78 |       7.2
  681 |  331902 |        64 |       6.7
  682 |  104953 |        68 |       7.5
  683 |   16164 |        87 |       6.5
  684 |  112313 |        33 |       5.9
  685 |  245144 |        36 |       7.7
  686 |  534388 |        88 |         8
  687 |   54486 |        82 |       7.6
  688 |  252503 |        35 |       6.1
  689 |  586669 |        92 |       8.3
  690 |  157053 |        85 |       7.1
  691 |  114144 |        39 |       5.4
  692 |   23540 |        56 |       7.8
  693 |   10708 |           |       6.5
  694 |   90188 |        39 |       5.5
  695 |  471109 |        79 |       7.9
  696 |  177602 |        61 |       8.1
  697 |   19636 |           |       6.1
  698 |   86271 |        57 |       7.3
  699 |  347567 |        69 |       7.2
  700 |    1427 |        44 |       5.5
  701 |   73835 |           |       6.5
  702 |  494641 |        62 |         7
  703 |  250012 |        60 |       7.1
  704 |  106115 |        53 |       6.6
  705 |   83788 |        44 |       6.5
  706 |    4754 |        60 |       5.8
  707 |  208632 |           |       7.1
  708 |    5908 |        53 |       6.5
  709 |  146812 |        48 |       7.4
  710 |   18437 |        50 |       6.2
  711 |  335757 |        35 |         6
  712 |   11482 |        86 |       7.6
  713 |   50388 |        67 |       7.3
  714 |   92863 |        80 |       8.2
  715 |   74664 |        46 |       5.8
  716 |  141141 |        77 |       6.5
  717 |   64557 |        38 |       6.6
  718 |   96718 |        47 |       6.2
  719 |  209700 |        68 |       5.8
  720 |  236500 |        68 |       6.4
  721 |   65824 |        60 |       6.7
  722 |   95553 |        76 |       7.1
  723 |  190385 |        30 |         6
  724 |   26088 |        47 |       5.1
  725 |  127983 |        61 |       6.2
  726 |  209326 |        55 |       6.2
  727 |  286543 |        63 |       6.6
  728 |  309934 |        68 |       7.6
  729 |  219116 |        47 |       6.8
  730 |   71069 |        76 |       6.7
  731 |  166342 |        42 |       6.3
  732 |  201707 |        57 |         7
  733 |     688 |        51 |       6.9
  734 |  338280 |        46 |       6.6
  735 |   16163 |        37 |       7.7
  736 |  259182 |        83 |       7.5
  737 |    4155 |        68 |       5.6
  738 |  182305 |        57 |       7.1
  739 |   17439 |        53 |       5.7
  740 |  124554 |        31 |       5.2
  741 |   29642 |        40 |       5.4
  742 |    8998 |        54 |       6.6
  743 |  144524 |        80 |       8.2
  744 |  254904 |        80 |       7.6
  745 |   25903 |        46 |       6.2
  746 |  144779 |        44 |       6.1
  747 |     313 |        60 |       4.6
  748 |    3731 |           |       5.7
  749 |   30035 |        65 |       6.1
  750 |   91684 |        39 |       5.9
  751 |  148943 |        68 |       7.2
  752 |   92875 |        61 |       6.5
  753 |  322536 |        67 |       7.9
  754 |  154400 |        31 |       6.3
  755 |     353 |        64 |         5
  756 |  187302 |           |       7.3
  757 |    2083 |        46 |       5.2
  758 |     256 |        36 |       6.6
  759 |   84893 |           |       5.2
  760 |  290056 |        79 |       7.8
  761 |   91229 |        38 |       7.5
  762 |  151970 |        68 |       7.3
  763 |   57826 |        73 |       7.3
  764 |  156158 |        43 |       6.6
  765 |  154588 |        41 |       5.7
  766 |  103279 |        51 |       8.2
  767 |  194236 |           |       6.7
  768 |  351361 |        65 |       6.2
  769 |   72515 |        56 |       6.3
  770 |   25928 |        65 |       5.7
  771 |  347798 |        58 |       6.6
  772 |    2043 |        34 |       4.5
  773 |  523893 |        74 |       8.1
  774 |   82701 |        36 |       5.6
  775 |  199193 |        51 |       7.3
  776 |  110490 |        57 |       6.2
  777 |   10871 |        35 |       5.1
  778 |    9026 |        56 |       4.7
  779 |     499 |           |       4.8
  780 |   29912 |           |       7.2
  781 |  218679 |        56 |       6.9
  782 |   67196 |        34 |       6.5
  783 |  128146 |        45 |       7.3
  784 |    1031 |        77 |       6.5
  785 |   31370 |        31 |       6.9
  786 |  346154 |        83 |       7.8
  787 |     378 |        37 |       6.8
  788 |   11555 |        22 |       4.6
  789 |   69157 |        44 |       6.7
  790 |  366138 |        49 |       6.4
  791 |   50241 |        58 |         6
